,audiocap_id,youtube_id,start_time,caption
39,88023,ogXzNVUU3Xk,20,"Coughing by woman and child, then woman and child speaking"
40,12019,3qPzSfovVmk,70,Truck engine running then a dragging noise
41,12018,3qPBmioT8Fo,30,"A dog is whining and whimpering, and an adult male is speaking"
42,88025,og_JH9cxUeg,30,Small frogs croak and chirp
43,12016,3qOK68-L2cU,140,"An aircraft begins its takeoff, buzzing of small engines"
44,12013,3qKKDuwStA8,40,A person is speaking and crumpling paper
45,12012,3qC6_t1bjjw,21,"Two adult females are speaking, a dog is panting, a squeak occurs, and whistling occurs"
46,17258,689OVglGxKE,30,A vehicle revs then explodes while a crowd cheers and an announcer exclaims
47,100014,xpRBnXZnRm0,370,A man speaking followed by crinkling
48,64677,YkWrXaJNpn4,320,A power tool hums and vibrates
49,100012,xpF_Jeaj7cs,6,"A man speaking followed by a swoosh then a loud splash, then a man laughs"
50,64671,YkQ12wpHeUc,0,Several birds tweet
51,100011,xpE3LXuhJS8,210,Vibrations and humming of a power drill
52,17250,67qTV1MDXhc,100,A bell chiming
53,17251,67r_mSftdjk,30,A woman giving a speech
54,17254,67yhKQpwvjo,30,"People speak followed by spraying, then a phone rings"
55,17255,67zyxZb-wQM,340,A round of applause followed by a woman speaking
56,17257,6850oZZoeb8,60,"Traffic sounds are present and ongoing, an adult male is speaking, and metal clicking occurs"
57,10709,3JNjTAf04rc,30,People are talking and pig oinks
58,10708,3JLBP8VnukU,12,A dog whimpers repeatedly
59,9258,2i8L8v2NTsY,30,A man gives a speech
60,9259,2i8w_CZEprk,0,"Water flowing, wind blowing, a dog whimpers"
61,10703,3JAjNVImec4,340,People cheering and race cars racing by
62,10701,3J9nGJ5dmsI,30,Motorcycle driving away at high speeds
63,9253,2i-sTS4rNgs,30,A big engine is sitting in idle
64,9251,2hxyWkenHI4,270,"A rapping sound is present and is echoing in a room, and people in a crowd speak in the background"
65,101352,yuqiS8rSp64,30,Humming and whooshing of a helicopter hovering close
66,21618,8Cpw8deghns,150,Crinkling noise followed by a man talking
67,21614,8ClpqdlMMTE,50,A small dog whimpering and howling
68,21617,8Cpu6HuZppw,50,Someone suddenly sneezes out loud
69,21616,8CpkuIJ1aQg,30,An adult male is speaking informatively
70,21611,8CdmbbBcx14,430,A kid speaking and another kid talks in the background
71,21610,8C_A2FOG02E,30,Bell chiming with a vehicle starting up
72,21613,8Cl-_ONJOes,30,A man is talking
73,19397,77fe_-5zCmM,20,"An adult male speaks, a meow occurs, then a boom, the male speaks again, and mechanical clicking occurs"
74,45448,LkXhkR4lTS4,30,A person talking the entire clip
75,45440,LkNOOWFKHD8,30,Water splashing and gurgling as people talk
76,62368,XB-lOd-HH1o,30,A man talks while different birds tweet
77,48620,Nnt49h9kSuQ,60,A man speaking followed by glass shuffling then wood clanking before glass clanks proceeded by liquid pouring into a container
78,19393,77ZFT8HuVq0,30,"A boat motor is running and then accelerates, and water is splashing"
79,19392,77YX1V-mPcY,70,Water is flowing making bubbly sounds and splashing around
80,48622,Nnv7ImgNAEg,30,Continuous hissing with bells and a horn honking
81,46861,MgHh1iN_8fk,100,A sewing machine operates with squeaking sounds followed by knocking
82,58074,UA5_5uj4iIw,0,"The whir of machine motors, the clacking of wooden boards"
83,19390,77VHwpyq6xo,30,A dog barks while people speak
84,58072,U9ySkH80BU8,20,Someone speaks as water runs into a sink
85,48627,No4tP84-NvI,110,Clanking with brief speech
86,90310,qNsnip5tvsg,440,A person talking as a crowd laughs
87,62360,XASclzoqguI,250,A woman talks followed by sizzling and frying of food
88,90313,qNxytjnLbOE,30,A train engine is running and rhythmically chugging
89,90314,qO0P57aZBiw,30,A steam engine running on railroad tracks as steam heavily hisses
90,90317,qOA4vLvHHn8,80,Dogs growling while a woman is talking followed by dogs barking
91,91074,qzy-KWlmlgc,30,A spray is triggered
92,54542,RmF5uH_SuKQ,40,Several engines work in idle nearby
93,43263,KLGJt-Q65RA,40,Small birds chirping with people speaking
94,82440,kZ6h5EYl6fs,150,A large engine roars and someone is shouts a loud short rout
95,13058,4I2KlSyijz4,330,Men talk while an audience laughs and water runs from a faucet
96,13052,4HtkTDr342c,30,A man is speaking and water is gurgling in the background
97,13053,4HxIyosr-AM,200,A man is narrating while instrumental music plays and a plane engine sounds
98,13050,4HrtJcJc174,30,A woman is giving a speech
99,13051,4Hs1yZu1GAU,520,Food is sizzling dishes are clanging together and a woman is speaking
100,13056,4HzAuSA8Syk,60,"People talking in foreign language, train horn"
101,13054,4Hy1t6KBY4o,520,Vehicle drives and honks its horn
102,13055,4Hz53AafH7s,480,Motor slowing down
103,54170,RX7gmpgfnYs,30,A man is talking and spraying something
104,54172,RXE39pZXG3M,4,A few slams are followed by referee whistles
105,54173,RXE4HGOTQWI,20,Phone ringing then two men speaking
106,33714,EN_D3UzTfqE,30,"An engine vibrates loudly nearby, and then wind blows"
107,94541,tdWWY6SoqlY,30,A bus slows down and its engine decelerates quietly
108,94540,tdUv86s7PMw,30,An engine works while some frogs croak
109,94544,tdZk4rxpSlc,30,Whimpering and long yipping.
110,94546,tdfz7W9xNIw,10,Loud wind noises and a car horn and a person talking at the end
111,62084,WxuCynzEntQ,590,Metal clangs together in an enclosed space
112,20258,7XQZvjD_Ww0,30,A small motor is vibrating consistently
113,40321,ISTN_64MVnA,100,An electronic bleep beeping repeatedly
114,20252,7XCSZi0rS5E,550,A baby laughs and a man speaks
115,20253,7XCaCkHgkZM,30,A cat is meowing over and over
116,20250,7X3i7llSK9U,190,A train is blowing its horn as it passes by
117,44424,L5gAhon3a68,290,A person speaks and a small RC engine spools up
118,40963,Is4oH0_g21U,30,A sheep bleats and some objects hit
119,40961,Is0jFNep7kY,240,Fast rubbing followed by speech
120,29767,CEzwcZnypSY,30,A man speeches while a crowd whispers
121,1176,#NAME?,0,Continuous mechanical beep
122,1173,#NAME?,30,A woman sneezes before describing the side effects of her cold
123,1172,#NAME?,30,Woman speaking while a pan sizzles
124,23506,995vcjHHtZc,26,People are being pushed back on her own
125,1179,#NAME?,20,Vibration and noise of a working motor
126,1178,#NAME?,310,Rapid gunfire and gunshots
127,27619,B9JPdSzZXvc,4,A door is sliding open
128,27618,B9J303z3ICM,270,A flushing of water and people talking
129,27617,B9Hlx2G4ADc,30,An idling engine sound is followed by an engine revving
130,27616,B9F7ijiMaxs,30,Children are speaking followed by laughter
131,27614,B97t6blNHnA,30,An engine idling consistently
132,27613,B94vwFIqTUQ,350,A man speaks and types
133,27612,B9-LyMdFE4I,190,Sanding and cracking
134,27611,B8xK_lJFsRw,30,People speaking on a moving bus
135,27610,B8t0JMx0vyk,450,Water pours out onto a surface
136,97938,wEXFa9wRSn0,90,International music plays as water pours into a pot and finally some splashes
137,59038,UrSXp3cd3tw,200,Humming of engines with some clicking and crackling
138,97931,wEDtBaumjH8,30,A train horn sounds then someone laughs
139,97930,wEDditLGJwg,60,"Several small shuffles of hard objects knocking, followed by loud explosions interspersed by a grown man chuckling"
140,16881,5y4pi2ShzhY,9,A explosion and a man speaking
141,97746,w5xqAI6Ev40,20,Clanking followed by a toilet flushing and then some more clanking
142,12832,4C-Abooz-OA,30,The engine of a small machine pulling chains
143,8549,2Qh9AFPNq50,8,A dog is barking people are talking
144,12836,4C6JkAoRyVk,0,A horse neighs and birds chirp outside
145,12835,4C5_pfsrp3Q,190,Birds are flapping their wings and some bird call
146,8545,2QZSUAQMHqk,30,Motor running followed by faint murmuring and gunshot
147,8544,2QXhTsNhzIQ,340,"A distant train horn, followed by the clickety-clank of the train on the rail"
148,12838,4C7XyQgZ_8I,30,A thump noise and a bird chirps
149,8541,2QTH4_WQlgg,0,A toilet flushes and then woman laugh in the background
150,8540,2QLhxtgqvU8,40,"A man speaks followed by electrical hums, some clicking, and liquid being poured"
151,8543,2QXBc5C7Ut0,30,Female speaking followed by child speaking
152,92260,rsfXfpnLfeE,29,Frogs croaking and chirping
153,92267,rt-0CEbzL2k,470,High pitched continuous ringing followed by clanking and rustling
154,92265,rswivgQdpFA,10,A child and man speak then whistle
155,92269,rt0Ksg7zpow,40,"An engine revs, tires squeal, a car accelerates into the distance"
156,66504,_-sns7INCWo,50,Rustling together with male speech and white noise
157,53634,R8z8J9klk70,0,A camera is shuffled and a clang occurs
158,50410,OzmtIGIsh7Y,30,A man is speaking then a sewing machine briefly turns on and off
159,66508,_0GMVllsIy4,30,A pigeon coos softly and then there is a lot of pecks and cooing by a lot of birds
160,23127,8xfX6p4e1ZI,30,Clip-clop of a horse trotting by
161,50415,OzvXPl848dw,100,A man speaks with some dry scraping and sanding
162,16887,5yFBvLbq1XA,30,Water running from a faucet
163,54304,RbrSbC-bGY0,20,Wind blows and birds tweet
164,88394,oy-nvX8f8nY,340,A drill runs continuously
165,55627,SUTOf4oOJRE,50,A loud engine idling
166,22678,8j7q3t8ie10,30,Moving of objects followed by a beep
167,22679,8jF5KAS1LkI,170,Females speech followed by a sewing machine in operation
168,82995,kxY_Asbi1wI,80,Water moves around and splashes loudly as a man grunts at the end
169,22675,8j69QB0y4Cw,360,A vehicle driving by quietly and slowly
170,22672,8ixP67tAOXs,0,Vehicles are racing by at a fast speed
171,22673,8j-jFjOn_4A,0,Wind is blowing and woman is laughing
172,22670,8itRcDYjTiw,30,A man talking and traffic driving
173,22671,8itzyk-WgP0,30,A frog chirps and other frogs and crickets chirp in the background
174,16884,5yAnVjPDShU,29,Sirens ring out and cars speed by in the background
175,15554,5MSE1-YlVfc,30,A woman speaks followed by laughter and a cat crying
176,60908,W8BDM_jth3Y,540,A man speaks and a computer keyboard is clicked
177,15556,5MWchKu240k,340,Dog continuously barking while middle aged woman vocalizes in distinct accent and laughs
178,8295,2KLSmeAXUHU,15,An engine is revving up
179,15553,5MRDu6qgla0,55,A crowd of people are talking and a police siren goes off loudly
180,75536,fXUT4w2jCWs,130,An engine sound is followed by the sound of helicopter blades
181,15552,5MQaessPo-0,560,Multiple car engines run
182,65262,Z9aB-SFDnwk,310,"A man talks nearby, followed by a door closing, after which the man continues to talk"
183,391,-8tskHwTfcQ,30,The sound of dried leaves rubbing against one another in response to being moved by the wind or another cause
184,390,-8sR1D7oCic,7,A race vehicle is accelerating its engine
185,397,-8ysWJSrITc,30,She is talking
186,396,-8yNBmjX1bE,30,Women speaking followed by children speaking
187,395,-8yCp5GagJA,500,The water tap was running water out of the faucet
188,394,-8xXKLBLOnc,70,A drill motor is running
189,92889,sN5B3nfGlZY,10,Someone is typing keys on a computer keyboard at a fast pace
190,76868,gW4iTnEvqHA,240,"A car engine hums nearby, and then people talk quietly"
191,3749,0UlteOknFwI,30,Dog snuffling and panting
192,3747,0UlaI-oeITg,19,The cars are passing by
193,3744,0UjmiLcmMa8,20,A toilet flushing away water while a bathroom stall door makes noise
194,3745,0Ukop25AhEc,0,A loud long burp is followed by a laugh
195,3742,0Ui0shNtHfY,30,"Water is running and gurgling, and a female speaks in the background"
196,3743,0UjUkHszzZ4,320,An adult male speaks and a medium vehicle engine starts up
197,99859,xiEIyeo6R7o,30,A vehicle engine slowly accelerates
198,57667,TuIfnuhmDq4,50,A couple of sequences where a computer-generated voice is followed by typing
199,99855,xi5tZADVwcw,90,A man speaks and bees buzz
200,99856,xi7oWgo-wqM,0,High pitched screeching followed by rustling and some croaking
201,52101,Q4ph8Eyq2Pw,200,A person talks nearby as an engine idles nearby and wind blows
202,60015,VWLLeNYvxII,30,Paper crackles nearby as it is manipulated
203,60017,VWNo6X7aecQ,540,A race car is driving as a man talks
204,49163,O9tPTmjH_hY,40,"Ambient water noises, followed by electronic motorboat engine"
205,68744,aad-tAx1DU0,13,A machine works
206,73334,dtkT2VYNgXA,40,Birds chirping and a person whistling
207,21931,8MxxgRV8o7U,420,"An adult male speaks, water runs, splashes and gurgles, and a thump occurs"
208,21932,8MzdJUn9n8U,6,A car starts up and is revved
209,21933,8N-sgJB6Ias,30,A man is speaking followed by a thud
210,21934,8N0pMDO4hsQ,0,"Approaching vehicle with blowout, birds in background"
211,21935,8N4KO96rkdU,30,Water crashing and small person talking
212,21937,8N5eETeI8Z0,17,"A child cries, a woman speaks, cat shrieks and the child cries more"
213,21939,8NAMpUl01ug,200,Wind blowing hard followed by two men talking in distant ending with a frog croaking
214,99992,xobSVmWsS3M,230,A back and forth sanding noise
215,99995,xoeIYiJsPy0,30,A helicopter whirs consistently
216,99994,xoeGfFrOSec,30,A man talks while a model airplane flies
217,57087,TVdAI0xaU8s,0,Crackling followed by an explosion
218,57080,TVDvmHlcGm0,0,A door opens up nearby
219,57088,TVdoDP96590,12,High pitched whistling following by low whistling
220,69641,bDrPO37cp6M,90,A machine works while wind blows strongly followed by a siren being triggered
221,31760,DKM2KjNkX18,470,A man speaks and types on a keyboard
222,100190,xzCbpSQgdpI,60,A car engine accelerates followed by a beep
223,16709,5siQ3K31KeI,10,"Sewing machine going, then stopping and starting up again"
224,16708,5siKASaXYTU,0,Numerous background noise of people and animals that end with an animal bellowing
225,6819,1ijeSI4LOrU,30,Birds are flapping their wings
226,102365,ziUoP8L-zkA,230,An aircraft engine running
227,102362,ziO8CGRSZZ8,30,Some clicks followed by a man speaking then some bangs
228,19975,7PKDrv5WP9o,18,A dog barks in concert with rhythmic thumping
229,102360,ziG1mj5gTTo,170,"An aircraft motor is running and buzzing, propellers are vibrating, and two adult males speak faintly in the background"
230,6810,1iXLWRFE000,30,An engine is idling
231,6813,1ibgN7gv1bQ,30,Pigeon makes lots of different sound
232,6812,1iaEDqdYliE,14,A man is speaking and cars are speeding by
233,6815,1ie_mPvVJ4A,30,A motorboat engine is in use
234,6817,1ihBVEOfaVE,0,Birds chirping and people speaking
235,6816,1ih1mXowz1U,0,An animal is stomping its feet
236,9753,2vKxkciAFaM,9,"A dog pants, shuffles and barks"
237,9752,2vJVctVYbMo,30,An older man is giving a speech
238,9751,2vIXsl6gICw,30,Loud engine attempting to get started
239,9750,2vHhaU0k_4k,30,The ticking and chiming of a clock
240,38384,HDkT9w96tnY,50,"A musical instrument bleeps, and then a machine beeps loudly several times"
241,9759,2vTVb3LhxXE,210,Clanking of dishes in the background while an older man speaks
242,24146,9SwqisZFZr8,30,Television plays in background then a young child sneezes and speaks followed by an adult woman who speaks
243,24147,9Sxy1AlWmB8,70,A bell chimes several times
244,24144,9SvCis6IdgU,26,"Man laughing and talking, whistle and engine revving"
245,24145,9SwGzhspGIs,30,A woman speaking followed by a baby cooing
246,24142,9Sn8mlDZ0zs,17,Wind blowing in a microphone and a group of people talking
247,24143,9SpP079VAYw,30,A man is snoring loudly
248,24141,9SkN9u22uhE,70,Engine idling quietly with light wind
249,37309,GXPeyqXZfyM,80,Motor vehicles are racing and skidding
250,81405,jnPD-M9kIm0,290,A machine runs very loudly
251,80590,jCTsyQRkwhg,15,An idle vehicle engine followed by a musical horn honking then a truck accelerating
252,58398,UOdw1xsTQFU,25,A bell rings and a train passes nearby
253,59952,VTuEzCUFTdE,0,Clanging sound then a toilet flushing
254,59954,VU-1nxT7YPU,250,Some surface is hit by a metallic tool
255,79408,iJXDHdIpB_k,30,"A man speaks, then lots of clicks and rustles and a pig squealing"
256,58262,UJ-2WuTunkE,170,A man talks and types on a keyboard
257,33755,EPSPjAR8ztY,30,A crowd applause loudly nearby as a person talks in the distance
258,33754,EPNr68hknvw,30,"In a quiet environment, an adult male is speaking"
259,54273,RaJx8et3wo8,250,Vehicles passing by with a loud horn honking continuously
260,93968,tC9f6uvVKZc,18,An emergency siren powering down followed by audio hissing and muffled metal clanging
261,49822,ObnqwJxrbcI,30,Some laughs lightly
262,68344,aIi_i_Bt510,50,A vehicle engine idling
263,33750,EPCTznmNcNw,0,Telephone ringing followed by a woman speaking
264,68340,aIS31DyFpDg,210,A car accelerates and skids
265,68343,aIbQ6eQ67GA,400,A man speaking with a distant boom of a jet engine
266,102106,zVy9pETn6oI,30,Rustling with distant people speaking followed by a girl speaking
267,67376,_b_dv4jK9vI,30,Humming and sputtering of an idling engine revving
268,94334,tTvvPOTmImA,570,Click clack then bell ringing
269,81561,juJgS5-ddRU,60,Church bells ring in the distance multiple times as people talk nearby
270,100016,xpUT30qUUaI,10,Rustling and white noise followed by a sneeze
271,100017,xpWWXLTXMaA,320,Gunshots ring out and an explosion occurs
272,30229,CUvDaVFQ0sg,450,A woman speaking and dishes clanking
273,76168,g0EXbG41tRY,30,Rumble of an engine followed by an abrupt sharp tone then an engine accelerating
274,76164,g0ACaijG5Rs,110,A harsh motor sound
275,76163,g06QT0gUKvo,30,A machine runs rapidly
276,30224,CUlxjccLpXc,30,An idling car revs the engine
277,76161,g-wlCCvMt_A,50,Wind blows strongly while people talk far away
278,44805,LLfowliB_YU,70,A man talks while a drill tool works
279,100130,xvjCydZMfPg,90,A sewing machine works while a man talks
280,49165,O9xjy2_DUL8,110,"A small motor run, something beeps, and then metal hits metal"
281,30223,CUlUUdmljb0,30,Static in the background while a child snores rhythmically
282,52460,QLEM4EzQhrQ,0,A man and woman speak after liquid is poured
283,92603,s8zWOWalXy4,30,Rail car noises and horn start to fade into the distance
284,30221,CUiajtjBXHM,30,Air rushing followed by a couple of sneezes
285,52462,QLKw_Tgd-ys,70,A gun shoots with lots of revert
286,100244,y0xkMQzZACI,30,Water runs and bells ring while wind blows and a goat bleats
287,44800,LLQUwiWyzZc,120,A rustling sound and a brief tapping and drumming
288,100136,xw-B1OGab3g,60,A man speaks with a bee buzzing and then a motorized vibration with some clicks.
289,64679,Ykbcr7TMhwU,90,Some rattling followed by a loud burst of an explosion then more rattling
290,94333,tTt0_1h17dU,100,An emergency siren wailing as a man speaks over a radio while a muffled vehicle engine accelerates followed by another man yelling in the distance
291,91219,r5s_IAgFiKo,550,Birds tweet while a ball is played
292,91211,r5WtQCGp1WI,60,"Electronic beeps occur, concurrent with an adult male speaking"
293,101943,zNrRMTf3qkU,260,"A man speaks followed by a tapping noise, and a man and child communicates followed by another man talking"
294,101942,zNkyJTy27vM,30,A man speaks as the wind blows followed by a motorboat traveling and the engine accelerates
295,35215,FGLzoiXAqEI,100,A large bell rings
296,35210,FGAg5PGzfu8,6,Young child crying and woman speaking
297,23267,90zLKk9MSdg,30,Wind blowing while a helicopters' engine runs
298,23265,90wcPsxr4H4,30,A man speaking as music plays then suddenly two explosions
299,23262,90q27wRwb9k,550,Several motorcycles race with engines humming and wind blowing
300,23260,90lCkXCD-zo,70,"Adult females are laughing, and thumping occurs"
301,101708,zB4kz0vEsTQ,100,Turkeys gobbling as a duck quacks while a woman talks and a bird squawks in the background
302,39503,HvTYMLSRBoY,0,Loud wind noises with someone talking and laughing
303,95799,ubIlCVO3pbk,30,A man speaking as a ball bounces on a hard surface in the background with wind blowing into a microphone
304,94331,tTmvQdMfLuI,30,A man speaks and then wind blows and a woman speaks
305,9256,2i65tU46rDA,30,A woman is speaking loudly
306,23753,9GBuJ_AvHOE,30,Leaves blowing in the wind
307,29670,CB_L70p00mE,30,A sustained and continuous spraying sound
308,10702,3JAIdFFGTtQ,200,Pots and pans rattle in the background
309,9254,2i0vfBErDUo,30,"A dog barks as another one whimpers, someone places an item down"
310,9255,2i2RLHiezds,30,A man delivers a speech
311,10707,3JIEw_2vKiQ,21,"Loud vibrations of a car idling and revving, it stops"
312,43855,Kia_gYhJ7k0,30,Clacking noises with a horn honking
313,10706,3JGsZLRU-kc,40,A water faucet is running then turned off
314,10705,3JELvtiMAZM,110,Vehicle running loudly with a clanking sound
315,10704,3JDBtQgmQmA,30,A male having a speech
316,49164,O9xYzACrBjA,310,"An airplane propeller spins loudly, and then a person bangs on a window multiple times"
317,6778,1hpQ2YaY3wo,0,A man speaks and music plays
318,6774,1hclg1BK7Sg,10,A truck engine idling with music in the background
319,6775,1hdDxxnwD78,70,Man speaking loudly
320,6776,1hj7HqQH4AA,30,A woman is speaking
321,6770,1hWHlsVYhwo,30,Boys are talking and a dog is barking
322,6771,1hX8CqcKGsk,290,A drill is in use
323,6772,1hXKHVcN1SE,30,Applause followed by speech
324,6773,1hXLW_zsmZg,30,Bell ringing continuously
325,23751,9G89QPJ-d1k,30,Heavy wind and footsteps
326,49569,ORl0KaeGVzk,26,"A young child cries, and adult female speaks, and the child continues to sob and speak"
327,23756,9GItwgXOOYc,30,Clanking followed by a man speaking and a bang
328,49567,ORg-1Jn7dY4,90,Bells ringing loudly
329,84221,ls12kzqkX0s,0,Birds chirping and insects buzzing while wind blows in a microphone
330,88554,p4kT-YyyU90,30,Man speaking and a motor running
331,32607,Dked9VwV5gw,30,A woman speaking continuously
332,81996,kEfFvQlA5n8,30,"A large volume of water splashes, six clicks occur, an adult female laugh, and birds chirp in the background"
333,42811,K2VEwu7vG8k,30,An infant cries with low talking and fan noise in the background
334,19095,6zzDOFmpHRY,20,"Water is splashing and gurgling, and an adult male begins to speak"
335,42815,K2aCJSsrT9k,9,"Static crackles, a person speaks in a distorted way, and water flows"
336,42818,K2i5ODkwdpg,30,A young male speaks followed by paper rustling sounds as music plays in the background
337,85670,mvbjcYC2TaY,30,Someone talking and a cat hissing and screeching
338,85674,mvmLUf3f7ZE,30,Motor along with gurgling
339,5058,10Wz3WLOowg,80,A woman sneezing and sniffling and complaining
340,5059,10XJ787bm2Q,30,"The motor of a boat with the sound of waves, followed by calm and still water"
341,5054,10R2yQUbKzc,30,Large vehicle engine and woman's faint speech
342,5056,10SZFHfWSz4,10,"Roaring is present, an emergency vehicle siren sounds, and then machine gun fire and more roaring"
343,5057,10Vv0X2_n6Q,8,A roar of a large vehicle as it approaches while a person screams something as the vehicle speeds away
344,5051,10IhJop-JE4,50,Power tools run
345,5053,10OItSnDWd0,20,A man is talking and a whoosh is heard
346,38561,HKOyrFuHsnI,0,Water streaming and dripping on a surface with vehicles passing by in the background
347,38567,HKhGst2jNf8,70,A man speaking as a bird tweets and a chicken clucks while water splashes and wind blows into a microphone
348,38566,HKgby13GaZM,60,Humming of a loud engine of a hovering helicopter
349,70130,baVWqtuSAno,0,A desk bell is rung and echoes
350,70131,baWqKKc3RVU,50,Uproarious laughter is coming from a few women
351,18893,6uMJRQ0UrGo,30,An engine runs and a man speaks
352,18892,6uGzPWpYqW8,20,A bird chirps in a hypnotic manner
353,18891,6uDv3CFjq2A,40,Ongoing stream running with faint children noises
354,18890,6uCq9iyudI4,110,A young man is speaking as a sink is filling up
355,18895,6uOmaZT3PRQ,20,Clicking on a computer keyboard
356,18894,6uN36JJR2Eg,170,A man speaking over a loud speaker and a helicopter flying by
357,18899,6uXUy9BOOus,12,Beeping of electronics
358,18898,6uSoEE2rS9o,110,Hissing loudly and a man speaking
359,87299,o7Nra5Cw_jQ,20,A telephone bell rings
360,64809,YqMJAzkRZZ8,30,A train revving up and horn honking
361,87291,o6uZQIMPhWE,21,Numerous number of frogs croaking
362,87292,o7-MJ5pyWDs,30,A flock of pigeons cooing as a bird chirps in the background followed by bird wings flapping
363,87294,o7-bm4FbUUU,0,Someone talks with voice on fast forward effect followed by a door opening
364,44221,KxWd4bh2zk4,440,An objects are rasped
365,69835,bMnJl__M898,220,An engine hums along with traffic noise in the background and a few words are spoken on a microphone
366,44223,Kxa7pvwyJPc,10,A bell chiming loudly three times
367,44222,KxZ-Uqn39Uw,470,Sink running and water dripping with male voice
368,36179,FsPM3qqt0yQ,30,An engine accelerating followed by brief silence
369,44226,KxjlxY0_hx8,30,A motorcycle moves and a man shortly laughs
370,18769,6ps8Q2EyWQk,70,A man speaking with leaves rustling and bugs chirping
371,18768,6pmMNLLcU9Q,470,A large motor idles with some hydraulic hissing
372,33529,EGhjsAOjfzU,10,A man talks followed by a machine working
373,18761,6pYQ0zQTHUc,30,A man speaking with people clapping
374,18760,6pTTmdHTaTg,80,A distant humming with rustling
375,89941,q6WyuwZE3Lg,21,A truck engine revving then idling
376,18762,6pY_gFJiSSg,20,Wood scraping and a man speaking
377,18765,6pfYx5e-RvQ,30,The lady is giving a speech
378,18764,6pfN49qA3NM,30,A man speaks echoing in a microphone
379,18767,6pjIVseNWAI,140,Water splashed in a faucet as a man speaks
380,18766,6pgkg0HLR7k,200,And adult and a child have a conversation and laugh together
381,87127,o-yXf9uRP4s,80,A man speaking as plastic crinkles and crumples
382,41545,JEXQ3c1Oze8,30,A man talks followed by several people cheering
383,83637,lQPxJ3M0Ves,60,A baby is crying and then a man and woman are laughing.
384,60778,W1QhUu3Jnp0,30,A helicopter flying
385,83631,lQ6zTOCg1gw,30,"Someone types on a keyboard super fast, slowing down just once"
386,83630,lQ57gZs9b1E,14,A child speaks as vehicles pass by
387,38873,HXI60nu_tII,100,People talks nearby as bees buzz loudly and rapidly
388,88453,p-mInDiyaKY,0,Dogs barking as a group of women are talking followed by whistling
389,94138,tK32_x_c3Tk,240,A machine works while a man talks followed by some material being rubbed
390,24637,9jDfLBPWwZM,30,Vehicle drives by quickly followed by a man speaking
391,71777,cnzMT0VuMcQ,2,A kid screams over and over and then another kid snorts like a pig
392,71774,cnWssIAfp04,330,A man speaks then removes something from a plate putting it into a frying pan
393,71779,co6-lH4EO7Y,410,A man speaks in Russian while an insects buzz
394,71778,co-rErLcFzg,0,A man speaks with some distant splashing and quacking ducks
